Product,ActionSet,Action,Action_Describe,Action_Link
SAS Visual Analytics,table,save,Saves a table to a caslib's data source,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-table-save.htm&locale=en
SAS Visual Analytics,table,shuffle,Randomly shuffles a table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-table-shuffle.htm&locale=en
SAS Visual Analytics,table,tableDetails,Get detailed information about a table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-table-tabledetails.htm&locale=en
SAS Visual Analytics,table,tableExists,Checks whether a table has been loaded,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-table-tableexists.htm&locale=en
SAS Visual Analytics,table,tableInfo,Shows information about a table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-table-tableinfo.htm&locale=en
SAS Visual Analytics,table,update,Updates rows in a table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-table-update.htm&locale=en
SAS Visual Analytics,table,upload,Transfers binary data to the server to create objects like tables,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-table-upload.htm&locale=en
SAS Visual Analytics,table,view,Creates a view from files or tables,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-table-view.htm&locale=en
SAS Visual Analytics,textMining,tmMine,"Combines the tpParse action, the tpAccumulate action, and SVD functionality into one action. Some parameters require a SAS Visual Text Analytics license or a SAS Visual Data Mining and Machine Learning license",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-textmining-tmmine.htm&locale=en
SAS Visual Analytics,textMining,tmScore,Generates the parent table and SVD projections from new textual data based on the results from previous training data. This action requires a SAS Visual Text Analytics license or a SAS Visual Data Mining and Machine Learning license,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-textmining-tmscore.htm&locale=en
SAS Visual Analytics,textMining,tmSvd,Computes the SVD factorization and generates topics. This action requires a SAS Visual Text Analytics license or a SAS Visual Data Mining and Machine Learning license,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-textmining-tmsvd.htm&locale=en
SAS Visual Analytics,transpose,transpose,"Create an output table by restructuring the values in a table, transposing data from input rows to output columns",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-transpose-transpose.htm&locale=en
SAS Visual Statistics,accessControl,accessPersonalCaslibs,Provides administrative access to all personal caslibs (CASUSER and CASUSERHDFS),http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-accesspersonalcaslibs.htm&locale=en
SAS Visual Statistics,accessControl,assumeRole,Assumes a role,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-assumerole.htm&locale=en
SAS Visual Statistics,accessControl,checkInAllObjects,Releases all objects that are checked out. Use this action if the current client session does not have a transaction,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-checkinallobjects.htm&locale=en
SAS Visual Statistics,accessControl,checkOutObject,Reserves an object (and all of its children) for update by only the current client session. Prevents an object (and all of its parents) from being checked out exclusively by another session if checkOutType=Shared,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-checkoutobject.htm&locale=en
SAS Visual Statistics,accessControl,commitTransaction,"Persists all changes in an access control transaction to the server, releases all checked-out objects, and terminates the transaction",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-committransaction.htm&locale=en
SAS Visual Statistics,accessControl,completeBackup,Flags a backup as complete,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-completebackup.htm&locale=en
SAS Visual Statistics,accessControl,createBackup,Creates a backup if one is not in progress,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-createbackup.htm&locale=en
SAS Visual Statistics,accessControl,deleteBWList,Deletes a blacklist or a whitelist,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-deletebwlist.htm&locale=en
SAS Visual Statistics,accessControl,dropRole,Relinquishes a role,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-droprole.htm&locale=en
SAS Visual Statistics,accessControl,isAuthorized,Shows whether access is authorized,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-isauthorized.htm&locale=en
SAS Visual Statistics,accessControl,isAuthorizedActions,Shows whether access is authorized to actions,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-isauthorizedactions.htm&locale=en
SAS Visual Statistics,accessControl,isAuthorizedColumns,Shows whether access is authorized to columns,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-isauthorizedcolumns.htm&locale=en
SAS Visual Statistics,accessControl,isAuthorizedTables,Shows whether access is authorized to tables,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-isauthorizedtables.htm&locale=en
SAS Visual Statistics,accessControl,isInRole,Shows whether a role is assumed,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-isinrole.htm&locale=en
SAS Visual Statistics,accessControl,listAcsActionSet,Lists access controls for an action or action set,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-listacsactionset.htm&locale=en
SAS Visual Statistics,accessControl,listAcsData,"Lists access controls for caslibs, tables, and columns",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-listacsdata.htm&locale=en
SAS Visual Statistics,accessControl,listAllPrincipals,Lists all principals that have explicit access controls,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-listallprincipals.htm&locale=en
SAS Visual Statistics,accessControl,listMetadata,"Lists the metadata for caslibs, tables, columns, action sets, actions, or administrators",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-listmetadata.htm&locale=en
SAS Visual Statistics,accessControl,operActionMd,"Adds, deletes, and modifies action metadata",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-operactionmd.htm&locale=en
SAS Visual Statistics,accessControl,operActionSetMd,"Adds, deletes, and modifies action set metadata",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-operactionsetmd.htm&locale=en
SAS Visual Statistics,accessControl,operAdminMd,Assigns users and groups to roles and modifies administrator metadata,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-operadminmd.htm&locale=en
SAS Visual Statistics,accessControl,operBWPaths,Configures a blacklist or whitelist of paths,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-operbwpaths.htm&locale=en
SAS Visual Statistics,accessControl,operColumnMd,"Adds, deletes, and modifies column metadata",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-opercolumnmd.htm&locale=en
SAS Visual Statistics,accessControl,operTableMd,"Adds, deletes, and modifies table metadata",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-opertablemd.htm&locale=en
SAS Visual Statistics,accessControl,remAllAcsActionSet,Removes all access controls for an action set or action,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-remallacsactionset.htm&locale=en
SAS Visual Statistics,accessControl,remAllAcsData,"Removes all access controls for a caslib, table, or column",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-remallacsdata.htm&locale=en
SAS Visual Statistics,accessControl,repAllAcsAction,Replaces all access controls for an action,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-repallacsaction.htm&locale=en
SAS Visual Statistics,accessControl,repAllAcsActionSet,Replaces all access controls for an action set,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-repallacsactionset.htm&locale=en
SAS Visual Statistics,accessControl,repAllAcsCaslib,Replaces all access controls for a caslib,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-repallacscaslib.htm&locale=en
SAS Visual Statistics,accessControl,repAllAcsColumn,Replaces all access controls for a column,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-repallacscolumn.htm&locale=en
SAS Visual Statistics,accessControl,repAllAcsTable,Replaces all access controls for a table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-repallacstable.htm&locale=en
SAS Visual Statistics,accessControl,rollbackTransaction,"Discards all changes in an access control transaction, releases all checked-out objects, and terminates the transaction",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-rollbacktransaction.htm&locale=en
SAS Visual Statistics,accessControl,showRolesAllowed,Shows the roles that a user is a member of,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-showrolesallowed.htm&locale=en
SAS Visual Statistics,accessControl,showRolesIn,Shows the currently active role,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-showrolesin.htm&locale=en
SAS Visual Statistics,accessControl,startTransaction,"Initiates an access control transaction in the current client session. Within a transaction, changes are private. Within a transaction, only exclusively reserved (checked-out) objects and their children can be updated. A transaction terminates when it is committed or rolled back",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-starttransaction.htm&locale=en
SAS Visual Statistics,accessControl,statusTransaction,Shows whether client session has an active transaction,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-statustransaction.htm&locale=en
SAS Visual Statistics,accessControl,updSomeAcsAction,"Adds, deletes, and modifies some access controls for an action",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-updsomeacsaction.htm&locale=en
SAS Visual Statistics,accessControl,updSomeAcsActionSet,"Adds, deletes, and modifies some access controls for an action set",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-updsomeacsactionset.htm&locale=en
SAS Visual Statistics,accessControl,updSomeAcsCaslib,"Adds, deletes, and modifies some access controls for a caslib",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-updsomeacscaslib.htm&locale=en
SAS Visual Statistics,accessControl,updSomeAcsColumn,"Adds, deletes, and modifies some access controls for a column",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-updsomeacscolumn.htm&locale=en
SAS Visual Statistics,accessControl,updSomeAcsTable,"Adds, deletes, and modifies some access controls for a table",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-updsomeacstable.htm&locale=en
SAS Visual Statistics,accessControl,whatCheckoutsExist,"Lists checkouts held on an object, its parents, and optionally its children",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-whatcheckoutsexist.htm&locale=en
SAS Visual Statistics,accessControl,whatIsEffective,Lists effective access and explanations (Origins),http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-accesscontrol-whatiseffective.htm&locale=en
SAS Visual Statistics,aggregation,aggregate,Performs aggregation on selected variables,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-aggregation-aggregate.htm&locale=en
SAS Visual Statistics,builtins,actionSetFromTable,Restores a user-defined action set from a saved table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-actionsetfromtable.htm&locale=en
SAS Visual Statistics,builtins,actionSetInfo,Shows the build information from loaded action sets,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-actionsetinfo.htm&locale=en
SAS Visual Statistics,builtins,actionSetToTable,Makes an in-memory table from a user-defined action set,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-actionsettotable.htm&locale=en
SAS Visual Statistics,builtins,addNode,Adds a machine to the server,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-addnode.htm&locale=en
SAS Visual Statistics,builtins,defineActionSet,Defines a new user-defined action set,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-defineactionset.htm&locale=en
SAS Visual Statistics,builtins,describeActionSet,Describes a user-defined action set,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-describeactionset.htm&locale=en
SAS Visual Statistics,builtins,dropActionSet,Drops a user-defined action set,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-dropactionset.htm&locale=en
SAS Visual Statistics,builtins,echo,Prints the supplied parameters to the client log,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-echo.htm&locale=en
SAS Visual Statistics,builtins,getCacheInfo,Retrieves info about CAS_DISK_CACHE usage on session worker nodes,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-getcacheinfo.htm&locale=en
SAS Visual Statistics,builtins,getLicenseInfo,Shows the license information for a SAS product,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-getlicenseinfo.htm&locale=en
SAS Visual Statistics,builtins,getLicensedProductInfo,Shows the information for licensed SAS products,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-getlicensedproductinfo.htm&locale=en
SAS Visual Statistics,builtins,help,Shows the parameters for an action or lists all available actions,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-help.htm&locale=en
SAS Visual Statistics,builtins,history,Shows the actions that were run in this session,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-history.htm&locale=en
SAS Visual Statistics,builtins,httpAddress,Shows the HTTP address for the server monitor,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-httpaddress.htm&locale=en
SAS Visual Statistics,builtins,installActionSet,Loads an action set in new sessions automatically,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-installactionset.htm&locale=en
SAS Visual Statistics,builtins,listNodes,Shows the host names used by the server,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-listnodes.htm&locale=en
SAS Visual Statistics,builtins,loadActionSet,Loads an action set for use in this session,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-loadactionset.htm&locale=en
SAS Visual Statistics,builtins,log,Shows and modifies logging levels,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-log.htm&locale=en
SAS Visual Statistics,builtins,modifyQueue,Modifies the action response queue settings,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-modifyqueue.htm&locale=en
SAS Visual Statistics,builtins,ping,Sends a single request to the server to confirm that the connection is working,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-ping.htm&locale=en
SAS Visual Statistics,builtins,queryActionSet,Shows whether an action set is loaded,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-queryactionset.htm&locale=en
SAS Visual Statistics,builtins,queryName,Checks whether a name is an action or action set name,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-queryname.htm&locale=en
SAS Visual Statistics,builtins,reflect,Shows detailed parameter information for an action or all actions in an action set,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-reflect.htm&locale=en
SAS Visual Statistics,builtins,refreshLicense,Refresh SAS license information from a file,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-refreshlicense.htm&locale=en
SAS Visual Statistics,builtins,removeNode,Remove one or more machines from the server,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-removenode.htm&locale=en
SAS Visual Statistics,builtins,serverStatus (about),Shows the status of the server,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-serverstatus.htm&locale=en
SAS Visual Statistics,builtins,shutdown,Shuts down the server,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-shutdown.htm&locale=en
SAS Visual Statistics,builtins,userInfo,Shows the user information for your connection,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-builtins-userinfo.htm&locale=en
SAS Visual Statistics,cardinality,summarize,Provides actions for evaluating data cardinality,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=cas-cardinality-summarize.htm&locale=en
SAS Visual Statistics,sccasl,runCasl,Runs CASL code,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-sccasl-runcasl.htm&locale=en
SAS Visual Statistics,clustering,kClus,Provides k-means clustering,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=cas-clustering-kclus.htm&locale=en
SAS Visual Statistics,dataPreprocess,binning,Performs unsupervised variable discretization,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-binning.htm&locale=en
SAS Visual Statistics,dataPreprocess,catTrans,Groups and encodes categorical variables using unsupervised and supervised grouping techniques,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-cattrans.htm&locale=en
SAS Visual Statistics,dataPreprocess,discretize,Performs supervised and unsupervised variable discretization,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-discretize.htm&locale=en
SAS Visual Statistics,dataPreprocess,highCardinality,Performs randomized cardinality estimation,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-highcardinality.htm&locale=en
SAS Visual Statistics,dataPreprocess,histogram,Generates histogram bins and simple bin-based statistics for numeric variables,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-histogram.htm&locale=en
SAS Visual Statistics,dataPreprocess,impute,Performs data matrix (variable) imputation,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-impute.htm&locale=en
SAS Visual Statistics,dataPreprocess,kde,Computes kernel density estimation,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-kde.htm&locale=en
SAS Visual Statistics,dataPreprocess,outlier,Performs outlier detection and treatment,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-outlier.htm&locale=en
SAS Visual Statistics,dataPreprocess,rustats,"Computes robust univariate statistics, centralized moments, quantiles, and frequency distribution statistics",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-rustats.htm&locale=en
SAS Visual Statistics,dataPreprocess,transform,"Performs pipelined variable imputation, outlier detection and treatment, functional transformation, binning, and robust univariate statistics to evaluate the quality of the transformation",http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-datapreprocess-transform.htm&locale=en
SAS Visual Statistics,dataStep,runCode,Runs DATA step code,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-datastep-runcode.htm&locale=en
SAS Visual Statistics,dataStep,runCodeTable,Runs DATA step code stored in a CAS table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-datastep-runcodetable.htm&locale=en
SAS Visual Statistics,decisionTree,dtreeCode,Generates DATA step scoring code from a decision tree model,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-dtreecode.htm&locale=en
SAS Visual Statistics,decisionTree,dtreeExportModel,Export the aStore model for a tree model table,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-dtreeexportmodel.htm&locale=en
SAS Visual Statistics,decisionTree,dtreeMerge,Merges decision tree nodes,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-dtreemerge.htm&locale=en
SAS Visual Statistics,decisionTree,dtreePrune,Prune a decision tree,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-dtreeprune.htm&locale=en
SAS Visual Statistics,decisionTree,dtreeScore,Scores a table using a decision tree model,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-dtreescore.htm&locale=en
SAS Visual Statistics,decisionTree,dtreeSplit,Splits decision tree nodes,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-dtreesplit.htm&locale=en
SAS Visual Statistics,decisionTree,dtreeTrain,Trains a decision tree,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-dtreetrain.htm&locale=en
SAS Visual Statistics,decisionTree,forestCode,Generates DATA step scoring code from a forest model,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-forestcode.htm&locale=en
SAS Visual Statistics,decisionTree,forestScore,Scores a table using a forest model,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-forestscore.htm&locale=en
SAS Visual Statistics,decisionTree,forestTrain,Trains a forest. This action requires a SAS Visual Data Mining and Machine Learning license,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-foresttrain.htm&locale=en
SAS Visual Statistics,decisionTree,gbtreeCode,Generates DATA step scoring code from a gradient boosting tree model,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-gbtreecode.htm&locale=en
SAS Visual Statistics,decisionTree,gbtreeScore,Scores a table using a gradient boosting tree model,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-gbtreescore.htm&locale=en
SAS Visual Statistics,decisionTree,gbtreeTrain,Trains a gradient boosting tree. This action requires a SAS Visual Data Mining and Machine Learning license,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casanpg&docsetTarget=cas-decisiontree-gbtreetrain.htm&locale=en
SAS Visual Statistics,varReduce,super,Provides an action for performing supervised dimension reduction,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=cas-varreduce-super.htm&locale=en
SAS Visual Statistics,varReduce,unsuper,Provides an action for performing unsupervised dimension reduction,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=cas-varreduce-unsuper.htm&locale=en
SAS Visual Statistics,simSystem,simsk,Simulates data from a system of distributions,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=casactstat&docsetTarget=cas-simsystem-simsk.htm&locale=en
SAS Visual Statistics,ds2,runDS2,Prepares and executes a DS2 program,http://documentation.sas.com/?cdcId=pgmsascdc&cdcVersion=9.4_3.5&docsetId=caspg&docsetTarget=cas-ds2-runds2.htm&locale=en
